"content","Layanan","Transaksi","Performa Aplikasi","Keamanan"
"Gua kasih rating 1 karena apa... Ya bener karena aplikasinya banyak bug nya punya duit tapi gk berbaiki apanya gen x pikun","0","0","-1","0"
"RC99 terus yang muncul,gak bisa di buka aplikasinya, padahal sudah ke bank buat atasinya,sudah di reset juga","0","0","-1","0"
"Tadi barusan ke bank bsi, buka rekening lagi, trus mau aktivasi bsi mobile ternyata hp saya gak suport.. padahal sebelumnya aman aman aja,, tolong ya bsi bikin aplikasi itu yg bener GAK SEMUA ORANG TIAP TAHUN GANTI HP VERSI TERBARU YAA jadi tolong segera diperbaiki aplikasinya, saya susah transaksi kalo gak ada mobile bankingnya!!! Kalo dalam 3 hari masih blm suport aja, saya tarik semua dana saya gak mau lagi pake bank yg ribet pake acara gak suport segala!!","-1","0","-1","0"
"Kenapa ya apk ini ga bisa di gunakan untuk transfer, pemberitahuan ada bug, harus di perbarui, tapi pas di cek apk nya ga ada yg mesti di perbarui.","0","-1","-1","0"
"1. Setelah di update ga bisa Screenshoot. 2. Menu tarik tunai tanpa kartu melalui atm bsi hilang. Edited : Ok makasih BSI. SS dan Menu tarik tanpa kartu di atm bsi sudah hadir kembali.","1","0","1","0"
"Bug Force Close saat aplikasi pertama dibuka langsung tertutup kembali. Mohon perbaiki bug yang sangat mengganggu ini!","0","0","-1","0"
"-log out kurang nyaman. -sekarang malah gak bisa screen shot.","0","0","-1","0"
"ga usah ngasih tampilan infaq ketika habis transaksi saya ilang 500ribu","-1","-1","0","0"
"jujur kecewa banget krn fitur cardless via atm ditiadakan di update terbarunya 😓, padahal overall worth it bgt fitur² nya. PLISSS DEVELOPER BALIKIN LAGI FITUR FITUR CARDLESS VIA ATM","-1","0","0","0"
"mobile banking nya kenapa sering banget error ya 😔","0","0","-1","0"
"Makin kesini makin ga enak aja setelah update ini apk,mau buat tarik tunai di ATM BSI ga ada pilihan nya ga bisa screenshot pula hmm","-1","0","-1","0"
"Tidak bisa-bisa aktif bsi mobile nya, sudah beberapa kali datang ke kantor cabang tidak bisa juga aktif bsi mobile","-1","0","-1","0"
"Ketika ada versi terbaru tidak bisa langsung update","0","0","-1","0"
"BSI mobil kurang bagus saat di buka ada tulisanya permintaan kehabisan waktu ribet mau pindah saldo ke BRI BCA aj yg ndak pernah ribet","0","0","-1","0"
"Hari ini tgl 17 Sept 2024 saya merasa kesal. Apk mobile banking BSI sudah meniadakan Menu Tarik Tunai Tanpa Kartu, hanya tarik melalui Indomaret, Alfamart dan Alfamidi. Padahal tarik tunai tanpa kartu sangat membantu, bagi nasabah yg lupa bawa dompet dan cukup bawa smartphone saja. Ketinggalan canggih BSI. Namun skrg tgl 18 Sept 2024 sudah ada lagi. Ada apa ini sebnarnya. Apa sedang bereksprimen?","-1","-1","0","0"
"Kenapa tarik tunai tanpa kartu di atm bsi di hilangkan, padahal berguna sekali ketika lupa bawa kartu atm","-1","-1","0","0"
"Tarik tunai tanpa kartu kok pilihan Atm hilang ""ngak ada lagi"", cuma ada indomaret, alfamart dan alfamidi","0","-1","0","0"
"Tarik tanpa kartu di atm bsi sendiri kok g ada?? Aneh , Malah yg ada narik di indomaret dan alfamart??🤔🤦‍♂️","0","-1","0","0"
"Aplikasi yang seharusnya bagus dan berguna..sekarang kurang berguna. Akibat ada update terbaru. #permintaanwaktuhabis","0","0","-1","0"
"oee balikin laa fitur tarik tunai tanpa kartu nii, ga bisa gweh narik uang di sumatera barat ga ada indomaret, alfamret atau alfamidi","-1","-1","0","0"
"Makin menurun aja, udah gak bisa tarik tunai lewat mesin atm","0","-1","0","0"
"Semenjak update terakhir, selain fitur screenshot tidak bisa lagi, untuk mengetik jadi agak delay, jd sering salah sewaktu ketik angka Jika bisa, kembalikan fitur screenshot di BSI mobile, krn sangat berguna untuk screenshot saldo dan mutasi rekening","0","0","-1","0"
"Aktivasi melalui OTP sms namun waktu verifikasi kamera terlalu singkat, sehingga berulang-ulang kali sudah 3 x gagal. Mohon jangan mempersulit.","-1","0","0","-1"
"Kenapa menu tarik tunai tanpa kartu lewat ATM dihilangin, waktu itu mau buat kartu ATM disulitin, malah lewat BSI mobile juga dihilangin sekarang, kok jadi ribet amat siih BSI","-1","-1","0","0"
"Kok tidak ada tarik tunai tanpa kartunya min di bsi mobile????, yang ada cuman indomaret, alfa,afamidi","0","-1","0","0"
"tarik tunai tanpa kartu tidak bisa, sering gangguan","0","-1","-1","0"
"Bintang 4 dulu, pusing pake apk. Cek saldo aja harus pake pin. Mana loding lama padahal sinyal bagus. Coba lah dimudah kan contoh tu apk sebelah","0","0","-1","-1"
"ini kenapa skrg jd ga bsa tarik tunai tanpa kartu diatm?? masa harus ke indo atau alfamrt buat tarik tunai tanpa kartu.. hadeeeeehhhh.. penurunan kualitas amat sih bsi","-1","0","0","0"
"Aplikasi kok bolak balik update, bikin malas aja","0","0","-1","0"
"Kenapa tarik tunai tanpa kartu tidak basi lagi sih bsi Buat pusing aja","-1","0","0","0"
"Saya pengguna BSI Mobile sudah sangat lama. Melihat update terbaru yang tidak bisa tarik tunai di ATM yang pilihan itu dihilangkan cukup kecewa. Jujur pilihan tarik tunai di ATM sangat berguna untuk yang kartunya hilang atau rusak. Bintang satu dulu karena sangat kecewa dengan update yang sangat menyulitkan nasabah ini","-1","0","0","0"
"Tolong ini kenapa ga bisa tarik tunai tanpa kartu? Di bsi mobile nya malah indomaret alfamart bisa nya 😌","-1","-1","0","0"
"Masa Menu Tarik tunai tanpa kartu ke Mesin ATM bisa hilang,gatau lagi sama bank satu ini aneh aneh terus","-1","-1","0","0"
"Assalamualaikum maaf min bintang 3, ini tarik tunai tanpa kartu melalui atm bsi kemana ya? Kok saya klik tarik tunai, tidak ada pilihan melalui atm bsi, hanya ada 3 pilihan melalui minimarket. Mohon infonya","-1","-1","0","0"
"Kenapa fitur narik uang cardless di Hilangin? Padahal membantu banget buat org"" Yg kartu nya lagi rusak, Kalau bisa di kembalikan lah itu fitur cardless 😓","-1","-1","0","0"
"Aktifitas transaksi nggak bisa di screenshot semisal bagian mutasi. Payah....","0","0","-1","0"
"Kenapa menu tarik tunai di ATM BSI tidak ada ?","0","-1","0","0"
"Verifikasi wajah susah banget, dari 2022 sampek sekarang ga terdaftar akunnya padahal cuman aktivasi doang","-1","0","0","-1"
"Sangat suka dengan feature yang disediakan oleh BSI, tp agak susah n gagal terus saat masukan code captcha buka rekening, semoga bisa lebih lancar dan tetap teguh pada prinsip syari'ah. Aamiin.","-1","0","-1","0"
"Bsi, menu untuk pembelian token listrik dibikin gampang, disimpelkan,,,. Banyak menu beli listrik tapi mau beli token pilihane malah bikin pusing muter2 mbok kayak aplikator lainya gampang dimengerti","0","-1","-1","0"
"Untuk versi terbaru saat ini saya rasa kelihatan bsi mobile kurang siap dan ikut-ikutan. Dengan diproteksinya capture saldo dan mutasi, akan tetapi tidak memberikan opsi pengganti. Malah nasabah direpotkan dengan harus antri ke cabang hanya untuk cetak mutasi. Harusnya diberikan menu cetak saldo atau mutasi di aplikasi, bukan hanya asal sunat/proteksi tanpa memberikan solusi pengganti. Untuk mutasi keluar bisa dilihat di resi, tetapi bagaimana untuk mencetak mutasi masuk dan saldo saat ini.","-1","0","-1","0"
"Kecewa bgt sama BSI, apk nya harus di update mulu padahal sama2 aja. Terus kemarin pas mau di update gasengaja kepencet uninstall, pas mau di install ulg malah gabisa sampe besoknya baru bisa, pas udh bisa di download dan update, otomatis harus ngisi data ulg karna abis ke uninstall eh malah gabisa ngisi data, muncul trs notif close overlapping popups. Udah ngajuin laporan di wa dan ig bsi, udah ngikutin arahan mereka juga tetep sama aja gabisa sampe sekarang. Pokonya kecewa sama bsi.","-1","0","-1","0"
"Tarik tunai tanpa kartu harus lewat alfa/indomart,tidak bisa lewat atm","0","-1","0","0"
"tdk ada notifikasi aktivitas di BSI mobile lewat hp/email, saya kira terlalu riskan kalo tidak ada notifikasi, apalagi notifikasi uang masuk/keluar. Sangat disayangkan...jika ada peretasan orang yg tdk bertanggungjawab, nasabah tdk dapat mengetahui jika ada uang yg keluar dari rek BSI. Adapun notifikasi yg tersedia adalah notifikasi yg berbayar(notifikasi rangkuman) ...apk tertinggal jauh sama Bank lain yg ramah dan komitment pada nasabahnya ya. Semoga BSI jadi lebih baik...","-1","0","0","-1"
"Kenapa fitur tarik tunai tanpa kartu yg pake ATM BSI di hapus? Adanya opsi Alfamart, Alfamidi sama Indomaret. Padahal fiturnya sangat membantu. Kalo pake kartu cape gonta-ganti terus karena chipnya sering kegores, saya udah ganti kartu 3 kali dalam kurun waktu 2 tahun cape sekali. Klo pake kartu chipnya sering rusak alias kegores. Tolong di benahiiiii","-1","-1","0","0"
"Kenapa fitur tarik tunai dari BSI Mobile ke ATM BSI tiba-tiba tidak ada ? Padahal biasa saya sering menggunakan nya...","0","-1","0","0"
"Habis update makin ga suka, kenapa sekarang ga bisa di screenshot lagi, berharap bisa kembali ke seperti semula.","0","0","-1","0"
"Saya mau aktivasi keluar tulisan close overlapping pop ups terus gimana cara mengatasinya???? Udah uninstall cri cara di medsos tapi gak berhasil","0","0","-1","0"
"Tarik tunai tanpa kartu kok ga ada pilihan atm bsi ya.. Knp? Biasanya ada","0","-1","0","0"
"mmau ambil uang pake kartu. slalu muncul transaksi gagal dan melalu tanpa kartu. malah ada pilihanya indomaret,alfamart,alfamidi. harusnya ada transaksi tanpa kartu. hadeh","0","-1","0","0"
"Assalammualaikum admin, tolong bantu kenapa tarik tunai via atm hilang di aplikasi saya, terimakasih??","-1","-1","0","0"
"Kenapa tiba"" Saat sy mw tarik tunai non kartu kok hilang fitur ATM di apk nya?? Dan hanya tersisa indomaret alfamart dan alfamidi saja. Tolong di perhatikan lagi kok bisa tiba"" Hilang gitu. Itu fitur sangat memudahkan org yg tdk mempunyai kartu ATM. Terimakasih","-1","-1","0","0"
"BSI makin ga karuan banyak nasabahnya tunanetra tapi ga peduli aplikasinya makin ga bisa di aksed","0","-1","-1","0"
"Kenapa fitur tarik tunai tanpa kartu melalui Mesin ATM BSI hilang? hanya ada melalui Indomaret, alfamart dan alfamidi....ini aplikasi kartu Bank BSI atau kartu belanja minimarket?tolong diperbaiki...","0","-1","0","0"
"Kenapa di m-banking sy gabisa tarik tunai tanpa kartu di atm bsi, cuma bisa di alfamart sama indomart","0","-1","0","0"
"Tolong Perbaiki aplikasi ini,sangat lemot padahal jaringan saya bagus.. aplikasi lain tidak ada masalah di Hp saya.Cuma BSI mobile apk ini saja yg sangat lemot","0","0","-1","0"
"Instal untuk update tdk bisa","0","0","-1","0"
"Tidak bermutu verifikasi wajah bikin orang kesal kurang sabar apa di permainkan sudah 2 jam tidak bisa gagal terus","0","0","-1","-1"
"Hallo kenapa penarikan tunai tanpa kartu tidak ada fitur yang ke ATM yang ada malah ke Indomart, Alfamart dan Alfamidi tolonglah apakah terjadi bug atau error segera diperbaiki ini mau digunakan penting malah seperti ini","0","-1","-1","0"
"ini disuruh uninstal apk buat ganti sandi tapi pas uda di instal ulang dan isi data eh malah gabisa dipencet² saat mau ganti sandi malah katanya close overlapping trs","0","0","-1","-1"
"Kenapa BSI Mobile sekarang tidak bisa tarik tunai via BSI Mobile? Bisanya hanya melalui Indomaret/Alfamart","0","-1","0","0"
"Kenapa BSI saya di update tertunda terus ya..?cuma nyampe 58% lalu terhenti","0","0","-1","0"
"saya baru transfer dari bri ke bsi sebesar 700rb plus bifast 2500 nah setelah saya cek saldo di bsi cuma ada 650rb jadi pertanyaan saya yg 50rb nya kemana saya cek mutasi ada tertera masuk 700rb yg 50rb tidak ada keterangan apapun klu ini bank memang mau potong admin atau apapun itu harusnya ada keterangan dong bukan ngilangin begitu saja jadi saya kecewa dan menyesal daftar ke bank ini","0","-1","-1","0"
"aplikasi dibuka keluar sendiri","0","0","-1","0"
"Kenapa pas update kemarin, fitur tarik tunai melalui atm bsi tidak tersedia lagi, jadi berkurang kemudahan yang diberikan oleh aplikasi mobile bsi, ini bukan menambah kemajuan tapi malah sebaliknya","-1","-1","0","0"
"Uiii kenapa tarik tunai di ATM ngga bisa lagi... Saya tinggal di kampung tak ada alfamart ataupun indomaret.. Coba bikin kebijakan pikir pikir.. Bukan yang di kota aja","-1","-1","0","0"
"Tidak ada lagi menu tarik tunai via atm BSI, SANGAT MENGECEWAKAN","0","-1","0","0"
"Ini makin kesini makin ngawur BSI mobile, tarik tunai tanpa kartu aja jadi gak ada fiturnya. Gak guna banget.","0","-1","0","0"
"Knp sekarang bsi udah gak bisa tarik tunai tanpa kartu bisanya hanya di indo mart atau alfa mart. Fitur penarikan lewat mesin atm sudah gak ada gmn ya.","0","-1","0","0"
"Kenapa menu tarik tunai tanpa kartu via ATM BSI sudah tidak ada lagi?","0","-1","0","0"
"Menu tarik tunai ATM BSI nya ko gak ada ya, yg ada malah Alfa, Indomaret, Alfamidi Yang esensial malah di ilangin","0","-1","0","0"
"tambah update tambah mempersulit... ketika lupa tidak bawa kartu sekarang tidak ada pilihan tarik tunai d atm bsi, kalau k alfa/ indomart harus bayar admin 5.000. bikin tambah susah orang aja...","-1","-1","0","0"
"Heran dgn BSI Mobile, hampir setiap akhir pekan selalu ada aja masalah... yg sering adalah ""kehabisan waktu"", padahal baru aja login. Terbaru ""tidak bisa diproses bila indikator tidak berwarna hijau"". Bank hasil penggabungan dari BRI Syariah & BNI Syariah, tapi gak tuntas² juga aplikasinya.","-1","0","-1","0"
"Di update malah menu tarik tunai via ATM Ndak adaaa ga jelas banget","0","-1","-1","0"
"Mengapa saat saya memilih kartu ATM tidak ada pilihan GPN silver atau GPN gold hanya ada pilihan Visa silver dan Visa gold","-1","0","0","0"
"Kembalikan fitur tarik tunai tanpa kartu di ATM BSI karena sudah tidak bisa dan untuk user interfacenya diperbaiki agar lebih menarik dan memudahkan nasabah mengakses fitur tanpa memasukan pin/kata sandi yg berulang-ulang","0","-1","-1","-1"
"Ini pilihan tarik tunai tanpa kartu di ATM kok hilang? Sengaja dihilangkan atau ada kesalahan ya?","0","-1","0","0"
"sekarang gabisa tarik tunai di atm bsi lagi yang cardless","0","-1","0","0"
"Untuk aktivasi ulang BSI mobile yg kehapus, mohon agar bisa dilakukan sendiri seperti Bank lain yg hanya memerlukan nomor rekening dan nomor telpon supaya tidak ribet antri lg datang ke Kantor Cabang BSI untuk verifikasi data.","-1","0","-1","0"
"Kenapa ya tarik tunai non kartu sudah tidak ada pilihan ATM BSI, hanya hanya Indomart, Alfamart dan Alfamidi","0","-1","0","0"
"Ktp saya udah terdaftar tapi nomer rekening nya gak ada, jadi gak bisa aktivasi","-1","0","-1","0"
"Saya ubah bintangnya. Kenapa selesai transaksi tidak bisa di screenshot bukti transfer nya? Padahal itu penting. Gak kayak bank yg lain. .","0","0","-1","0"
"Kenapa tidak bisa tarik tunai tanpa kartu di atm bsi??? Nyusahin aja makin di update malah tambah masalah baru, mana nggk bisa di ss lagi bukti tfnyaa. Data2 pengguna yang bocor, perbaiki dong sistemnya.","0","-1","-1","-1"
"kenapa di fitur tarik tunai di ATM BSI terdekat sudah tidak ada lagii?.... padahal klo ada seperti biasa sangat membantu","-1","-1","0","0"
"Tidak bisa tarik tunai tanpa kartu lagi di ATM BSI setelah update terbaru.. Bagaimana pelayanannya ini bukannya tambah baik malah berkurang kualitasnya.. Mohon di dengar keluhan pelanggan dan segera di tanggapi","-1","-1","0","0"
"kenapa fitur tarik tunai tanpa kartu melalui ATM skrng gak bisa lagi, padahal it sangat membantu nasabah. tolong di kembalikan fitur tsb.","-1","-1","0","0"
"Knpa setelah di perbarui malah tidak bisa screenshot tolong diperbaiki lagi","0","0","-1","0"
"Skrg ngga bisa tarik tunai dari aplikasi, kok diubah semenjak di update ngga bisa tarik dari aplikasi lagi","0","-1","-1","0"
"Untuk kemudahan transaksi tp kenyataannya aplikasi mbankingnya tdk dapat berfungsi diupdate ulang tetap aja gk bisa konfirmasi bilangnya karena sistrm sampai kapan?ini sangat menggangu aktifitas dlm bertransaksi dikarenakan atm sangat jauh.mohon segera di TL utk kemudahan dan kepuasan nasabah🙏","-1","-1","-1","0"
"Kenapa gak bisa ambil uang tanpa kartu di ATM lagi dari BSI mobile kecewa","0","-1","0","0"
"BSI mobile tidak ada lagi penarikan tanpa kartu melalui atm Atau memang ada bug atau keslaahan?","0","-1","-1","0"
"Stelah update kok gak bisa tarik tunai tanpa kartu dengan atm bsi ya, tolong dong di perbaiki lagi","0","-1","-1","0"
"Sudah bagus ada penarikan tunai , mencegah lupa kartu atau tindakan jahat , malah di hilangkan","-1","-1","0","-1"
"entah apa alasannya tarik tunai untuk di atm udah gaada, yg ada cuma Alfamidi Alfamart Indomaret.","0","-1","0","0"
"Kenapa menu tarik tunai di ATM BSI di hilangkan,mohon di cek lagi","0","-1","0","0"
"Untuk narik uang tanpa kartu sekarang kenapa tidak ada muncul atm BSI nya, yg muncul cuma Indomaret sama Alfamart, apakah memang tidak bisa lagi narik uang tanpa kartu di BSI ?","0","-1","0","0"
"Pengalaman baru,,ketika mau scrensot. Bukti pembayaran kok tidak bisa lagi","0","-1","0","0"
"Saya ngisi pulsa dari bsi mobile tapi pulsa nya gk masuk2,saldo berkurang juga","0","-1","0","0"
"setelah update terakhir, ga bisa login. muncul tulisan ""RC99 rooted device detected"" lalu aplikasi tertutup. sdh coba uninstall-install ulang-aktivasi ulang di cabang terdekat, bisa normal 2 hari habis itu balik lagi ga bisa login dengan notice yg sama. pdhl sebelum update, nggak pernah seperti ini. gimana ini, tiap ngehubungi customer service, disuruh datang langsung ke bank, tapi udah datang ke bank pun nggak menyelesaikan masalah. klaimnya bank syariah terbesar, tapi teknologinya kaya gini.","-1","0","-1","-1"
"Ada ada aja BSI... kemaren kemaren sering gangguan, sekarang tarik tunai tanpa kartu via ATM di hilangkan...apa maksudnya","-1","-1","-1","0"
"Paan sih ga jelas, bermasalah terus! Setiap mau transfer pasti ada saja masalahnya,padahal jaringan internet bagus, jellek bnget! Tdk bisa transfer jg ke rek BCA, Banyak bnget deh kekurangannya!","0","-1","-1","0"
"setelah update, kok di bsi mobile sy ga ada fitur pilihan ""ATM BSI"" di tarik tunai??","0","-1","0","0"
"Setelah update tambah jelek aplikasi ini... Nyesel sdh nabung di bsi.","0","0","-1","0"
"BSI mobile gk ada fitur tarik tunai tanpa kartu y d ATM BSI? sekarang di menu BSI mobile hanya ada menu tarik tunai tanpa kartu d tempat perbelanjaan saja.","0","-1","0","0"
"Ini kenapa tidak bisa narik pakai kartu lagi Pilihan ATM BSI nya tidak ada lagi","0","-1","0","0"
"Setelah di update tidak bisa tarik tunai di ATM BSI, buat apa ada mbanking kalo gak bisa tarik tunai di Bank nya, di tanya alasan sedang ada perbaikan kalo perbaikan kasih notifikasi ke pelanggan setia lewat SMS atau apa, ini tidak ada konfirmasi.dan waktunya juga tidak bisa di tentukan kapan bisa tarik tunai di ATM BSI nya.","-1","-1","-1","0"
"Mau searching lokasi ATM terdekat tapi kok gak ada respon,chat dg Aisyah di apk di arahkan ke WA terus di WA dibalesnya pake balasan otomatis (robot),mau Ngajukan pertanyaan yg diinginkan tidak ada dipilihan,kenapa gak seperti dulu yg bisa lngsung chat deg CS nya di aplikasi dan langsung bisa dijawab. Satu lagi, mau isi pulsa kok saya GK pernah bisa,jadi bingung. Tolong dong BSI di perbaiki","-1","-1","-1","0"
"Tolong balikin tarik tunai tanpa kartu di atm 😭😭 berguna bgt untuk aku yg suka lupa bawa kartu atm pas mau narik ke mesin atm nya 🙏🏻 skrg cuma bs tarik tunai tanpa atm via indomaret dan alfamart.","0","-1","0","0"
"Loh apaan si? Kenapa jadi gak bisa tarik tunai cardless di ATM? Ngawur banget. Padahal fitur paling penting. Tolong lah segera diperbaiki","0","-1","0","0"
"ini gimana yaa udah ada bukti tf dari bank lain tapi belum masuk ke rekening bsi nya, payah","0","-1","0","0"
"Masa dihilangkan fitur tarik tunai di atm bsi sih, padahal sangat membantu kalo kelupaan bawa atm","0","-1","0","0"
"kok ga bisa dibuka si mobile bsi nya","0","0","-1","0"
"aneh tiba2 gk bisa tarik tunai di bsi","0","-1","0","0"
